Cód. Art.;Descripcion;Anul;cant;codprecan;resto;codpreres
104;YEYO RAVIOLES ESPINACA X 500 (B24);no;29;;7;
105;YEYO RAVIOLES ESP-POLLO X 500 (B24);no;22;;15;
106;YEYO RAVIOLES ESP-CARNE X 500 (B24);no;24;;9;
107;YEYO RAVIOLES RICOTTA X 500 (B24);no;0;;0;
108;YEYO RAVIOLES 4 QUESOS X 500 (B24);no;4;;15;
109;YEYO CAPELLETIS X 1 KG (B15);no;0;;0;
110;YEYO CAPELET CAR/JAM X 400 (B24);no;6;;3;
111;YEYO FIDEOS FINOS X 500 (B24);no;3;;4;
112;YEYO FIDEOS ANCHOS X 500 GRS (B24);no;3;;1;
113;YEYO FIDEOS FUSILES X 500 GRS (B24);no;0;;12;
114;YEYO ÑOQUIS BANDEJA X 500 (B24);no;22;;19;
115;YEYO EMPANADA HORNO X 330 (B48);no;5;;21;
116;YEYO EMPANADA FREIR X 330 (B48);no;3;;29;
117;YEYO EMPANADA CRIOLLA X 330 (B48);no;5;;41;
118;YEYO EMP. ROT. HOJALDRE X 500 (B36);no;0;;0;
119;YEYO EMP ROTIS. CRIOLLA X 500 (B36);no;0;;0;
120;YEYO EMP REGION. HORNO X18 (B24);no;4;;8;
121;YEYO EMP REGION. FREIR X 18 (B24);no;0;;3;
122;YEYO EMP REGION. CRIOLLA X 18 (B24);no;1;;18;
123;YEYO PASCUALINA HOJALDRE  (B30);no;1;;4;
124;YEYO PASCUALINA CRIOLLA  (B30);no;1;;2;
125;YEYO PASCUALINA RECTANGULAR (B30);no;0;;0;
126;YEYO DISCOS DE COPETIN HORNO;no;0;;7;
127;DEVIANO EMPAN. HORNO/FREIR (B48);no;0;;0;
128;DEVIANO PASCUALINA CRIOLLA (B30);no;0;;0;
129;DEVIANO RAV POLLO/VERD X 900 (B15);no;27;;12;
130;DEVIANO RAV DE RICOTA X 450 (B30);no;14;;3;
131;DEVIANO RAV DE VERDURA X 450 (B30);no;18;;20;
132;DEVIANO ÑOQUIS X 900 (B15);no;7;;9;
133;YEYO CAPELETIS JAMON Y QUESO X 400 (B24);no;4;;16;
141;YEYO PAN LACTAL BLANCO X 360 (B15);no;12;;14;
142;YEYO PAN LACTAL BLANCO X 600 (B10);no;2;;5;
143;YEYO PAN DE MESA X 350 (B15);no;3;;0;
144;YEYO PAN DE MESA X 570 (B10);no;5;;9;
145;YEYO PAN C/ SALVADO X 350 (B15);no;2;;7;
146;YEYO PAN C/SALVADO X 600 (B10);no;0;;0;
147;YEYO PAN SEMILLA X 400 (B15);no;3;;4;
149;YEYO PAN HAMBURGUESA X 4 (B20);no;38;;11;
150;YEYO PAN P/MAXI HAMBURG (B16);no;3;;1;
151;YEYO PAN  PANCHO X 210 (B24);no;7;;7;
152;YEYO PAN SUPERPANCHO (B14);no;6;;9;
153;YEYO PAN LOMITO SESAMO X 4 (B21);no;1;;6;
154;YEYO PIONONO X  200 (B20);no;0;;11;
155;YEYO PAN HARINA TRIGO INTEGRAL (B10);no;2;;9;
156;YEYO PAN DULCE MILANES X 500 (B8);no;50;;1;
158;YEYO PAN DULCE C/ CHIP X 400 (B8);no;43;;6;
159;YEYO PAN DULCE MEDITERRANEO X 500 (B6);no;0;;0;
160;YEYO PAN DULCE DEVIANO X 400 (B8);no;196;;7;
161;YEYO VAINILLAS X 180 GS (B12);no;0;;0;
162;YEYO BUDIN NARANJA X 200 (B12);no;58;;9;
163;YEYO BUDIN VAINILLA CON CHIPS X 200 (B12);no;55;;4;
164;YEYO BUDIN VAINILLA X 200 (B12);no;54;;3;
165;YEYO LIGHT PASCUALINA HOJ. (B30);no;0;;0;
166;YEYO LIGHT T/EMPANADA BLISTER (B24);no;0;;0;
167;YEYO PAN DULCE SIN FRUTAS X 400 (B8);no;12;;5;
168;DEVIANO PIONONO X 180 GRS (B35);no;0;;0;
170;ORALI RAVIOLES VERDURA X 500 (B21);no;0;;0;
171;ORALI RAVIOLES POLLO X 500 (B21);no;0;;0;
172;ORALI RAVIOLES RICOTA X 500 (B21);no;0;;0;
173;ORALI RAV CARNE Y ESPIN X 500 (B21);no;0;;0;
174;ORALI RAVIOLES VERDURA X 1 KG (B10);no;0;;0;
175;ORALI RAVIOLES POLLO X 1 KG (B10);no;0;;0;
176;ORALI RAVIOLES RICOTA X 1KG (B10);no;0;;0;
177;ORALI RAV CARNE - VERD X 1 KG (B10);no;0;;0;
178;ORALI FIDEOS FINOS X 500 (B21);no;0;;0;
179;ORALI ÑOQUIS X 500 (B21);no;0;;0;
180;ORALI EMPANADAS CRIOLLA (B30);no;0;;0;
181;ORALI EMPANADAS S/ TACC X 330 (B30);no;0;;2;
182;ORALI PASCUALINA CRIOLLA (B30);no;0;;0;
183;ORALI PASCUALINA SIN TACC (B30);no;0;;9;
185;ORALI TAPA PASTELITO (B50);no;0;;0;
186;ORALI LEVADURA X 500 (B20);no;0;;0;
188;ORALI TORTILLAS X 220 (B16);no;-1;;-1;
189;ORALI EMPANADA TUBO XL (B6);no;0;;0;
190;ORALI TORTILLAS INTEGRALES (B16);no;1;;6;
191;ORALI TAPA EMP C/SEMILLAS X 12 (B18);no;0;;0;
192;ORALI RAVIOLES 4 QUESOS X 500 (B21);no;0;;0;
193;ORALI RAVIOLES 4 QUESO X 1 KG (B10);no;0;;0;
194;ORALI PASCUALINA LINEA VERDE SEMILLAS (B25);no;0;;0;
200;SALCHICHAS P X 6 (B32);no;69;;10;
201;PIAM. SALCHICHON JAMON FLIAR (B10);no;0;;0;
202;PIAM. SALCHICHON PRIMAV FLIAR (B10);no;0;;0;
203;PIAM. LEBER WURST (B24);no;1;;4;
204;PIAM. MORTADELA FAMILIAR (B10);no;2;;6;
205;PIAM. MORTADELA 808 FAMILIAR (B24);no;0;;8;
206;PIAM. SALCHICHON PRIMAVERA;no;8;;0;
207;PIAM. PALETA 131 MAXI PIEZA P/FETEAR ;no;0;;0;
208;PIAM. MILAN AL VACIO;no;0;;0;
209;PIAM. PANCETA AHUMADA;no;17;;0;
210;PIAM. PANCETA SALADA;no;0;;0;
211;PIAM. BONDIOLA AL VACIO;no;3;;0;
212;PIAM. SALAMIN P/G TIRA;no;26;;0;
213;PIAM. SALAMIN P/F TIRA;no;34;;0;
214;PIAM. SALAME X METRO P/G;no;9;;0;
215;PIAM. SALAME X METRO P/F;no;16;;0;
216;PIAM. SALAMIN P/GRUESO A/V;no;0;;0;
217;PIAM. MORTADELA 808 X 1.5 KG;no;16;;0;
218;PIAM. CHORIZO A LA ESPAÑOLA;no;3;;0;
219;PIAM. SALAME MILAN;no;19;;0;
220;PIAM. SALAME MILAN AL VACIO 808;no;14;;0;
221;PIAM. MILAN 808 A/V X MEDIA PIEZA;no;0;;0;
222;PIAM. SALAME MILAN CRESPON;no;-1;;0;
223;PIAM. MORTADELA CILINDRO;no;2;;0;
