Cód. Art.;Descripcion;Anul;cant;codprecan;resto;codpreres
519;OVNI OSITOS DE AVENA Y MIEL X 200 (B20);no;5;;11;
520;OVNI CHIZITOS X 1 KG (B10);no;21;;7;
521;OVNI CHIZITOS X 500 GRS (B10);no;0;;0;
522;OVNI CHIZITOS NARANJAS X 1KG  (B10);no;0;;0;
523;OVNI CHIZITOS X 50 GRS (B15);no;19;;10;
524;OVNI TUTUCA X 1 KG (B10);no;9;;5;
525;OVNI TUTUCA X 500 GRS (B10);no;0;;0;
526;OVNI TUTUCA X 200 GRS (B10);no;19;;7;
527;OVNI TUTUCA X 50 GRS (B20);no;8;;16;
528;OVNI PUFLITOS X 1 KG (B10);no;11;;3;
529;OVNI PUFLITOS X 200 GRS (B10);no;6;;2;
530;OVNI PUFLITOS X 50 GRS (B15);no;5;;5;
531;OVNI PAPAS FRITAS X 1 KG (B4);no;0;;0;
532;OVNI PAPAS FRITAS X 90 GRS (B24);no;9;;19;
533;OVNI PAPAS PAY X 1KG (B4);no;0;;2;
534;OVNI PALITOS SALADOS X 1 KG (B6);no;0;;0;
535;OVNI PALITOS SALADOS X 150 GRS (B15);no;9;;2;
536;OVNI MANI SALADO X 1 KG (B6);no;0;;2;
537;OVNI MANI SALADO X 160 GRS (B15);no;2;;8;
538;OVNI COPOS AZUCARADOS X 200 (B32);no;4;;17;
539;OVNI BOLITAS DE CHOCOLA X 200 (B32);no;3;;18;
540;OVNI ANILLITOS FRUTALES X 160 (B32);no;3;;13;
541;OVNI COPOZ AZUCARADOS X 2.5 KG (B4);no;0;;1;
542;OVNI ALMOHADITAS  FRUTILLA X 2.5 (B4);no;0;;2;
543;OVNI PAPAS FRITAS X 500 (B6);no;0;;0;
544;OVNI MANI SALADO/PELADO X 5 KG;no;1;;0;
545;OVNI ALMOHADITAS FRUTI X 180 (B32);no;2;;16;
546;OVNI ALMOHADITAS LIMON X 180 (B20);no;1;;14;
547;OVNI PALITOS GALACTICOS X 800 (B6);no;1;;4;
548;OVNI ALMOHADITAS CHOCO X 2.5 (B4);no;4;;0;
549;OVNI CHIZITOS X 120 GRS (B10);no;17;;5;
550;OVNI PALITOS GALACTICOS X 150 (B25);no;5;;20;
551;OVNI PIZZETA GALACTICA X 100 (B15);no;4;;14;
552;OVNI SERRANITOS GALACTICOS X 150 (B15);no;4;;0;
553;OVNI CONITOS GALACTICOS X 180 (B15);no;8;;0;
554;OVNI ANILLITOS MAIZ COLOR X 1 KG (B10);no;0;;0;
555;OVNI AROS CEBOLLA GALACTICOS X 60 (B12);no;5;;6;
557;OVNI COPOS SIN AZUCAR X 2.5 KG (B4);no;0;;1;
558;OVNI ALMOHADITAS LIMON X 2.5 KG (B4);no;0;;0;
559;OVNI ANILLITOS FRUTALES X 2.5 KG (B4);no;0;;0;
560;KINDER SORPRESA X 20 GRS (B24);no;8;;10;
561;KINDER JOY (B24);no;0;;0;
562;KINDER BUENO CHOCOLATE (B20);no;0;;0;
563;KINDER BUENO WHITE (B20);no;0;;0;
564;KINDER CHOCOLATE T1 (CAJA X 24 UNID);no;0;;0;
565;KINDER CHOCOLATE T4 (B20);no;0;;0;
566;KINDER MAXI X 21 GRS (CAJA X 10 UNID);no;0;;0;
567;KINDER MIRACULOUS / MINIONS X 100 GRS;no;0;;0;
568;KINDER GRAN SORPRESA ELLAS/ELLOS - NATOO X 150 GRS;no;0;;0;
569;FERRERO ROCHER T 3 (B16);no;0;;0;
570;FERRERO ROCHER T4 (B20);no;0;;0;
571;FERRERO ROCHER T 8 (B20);no;0;;0;
572;FERRERO ROCHER T 12 (B9);no;0;;0;
573;FERRERO ROCHER T16  (B20);no;0;;0;
574;FERRERO ROCHER T 24 (B4);no;0;;0;
577;FERRERO ROCHER HUEVO X 225 GRS;no;0;;0;
579;NUTELLA X 140 (B10);no;0;;0;
580;NUTELLA X 350 GRS (B10);no;0;;0;
581;TIC TAC FRUTILLA DUPLA (B24);no;0;;0;
583;TIC TAC MIX SANDIA (B24);no;0;;0;
585;TIC TAC MENTA INTENSA(B24);no;0;;0;
586;TIC TAC MENTA (B24);no;0;;0;
587;TIC TAC MIX DE FRUTAS (B24);no;0;;0;
588;TIC TAC NARANJA (B24);no;0;;0;
590;NUTELLA X 3KG. (B1);no;0;;0;
591;PITUCO ALFAJOR NEGRO (B24);no;17;;0;
592;PITUCO ALFAJOR BLANCO (B24);no;24;;0;
620;TONUTTI MOZZARELLA;no;137;;0;
623;TONUTTI QUESO ROMANO;no;7;;0;
624;TONUTTI QUESO SARDO;no;23;;0;
625;LA QUESERA QUESO AZUL;no;75;;0;
626;LA QUESERA PARMESANO;no;1;;0;
628;LA QUESERA QUESO RALLADO X 40 (B20);no;680;;10;
629;LA QUESERA QUESO RALLADO X 100 (B50);no;0;;12;
630;QUESO SARDO BLANCO ALBOR;no;1;;0;
631;LA QUESERA CHEDDAR POUCH X 3 KG;no;47;;0;
632;LA QUESERA PROVOLONE;no;1;;0;
633;LA QUESERA QUESO BLANCO X 4 KG (1);no;0;;0;
634;LA QUESERA CHEDDAR EN BARRA P/F;no;6;;0;
640;MUZZARELA CILINDRO MONTECARLO X 5;no;0;;0;
642;SARDO LA ENTRERRIANA;no;99;;0;
643;QUESITO CASERO TIPO HOLANDA;no;0;;0;
644;LA QUESERA Q CREMA CLASICO (B12) ;no;6;;9;
645;LA QUESERA Q.CREMA LIGHT (B12);no;1;;11;
646;LA QUESERA UNTABLE CLASICO (B12);no;5;;7;
647;LA QUESERA UNTABLE AZUL (B12);no;2;;4;
648;LA QUESERA UNTABLE GRUYERE (B12);no;3;;1;
649;LA QUESERA UNTABLE JAMON (B12);no;1;;9;
650;ABICO QUESO CREMOSO;no;0;;0;
651;ABICO QUESO PATEGRAS SANDWICH;no;0;;0;
652;ABICO QUESO SARDO NEGRO;no;0;;0;
653;ABICO RICOTTA HORMA;no;0;;0;
654;ABICO MUZARELLA CILINDRO;no;28;;0;
679;BRAVA HAMBURGUESA SUPER X 2;no;0;;0;
687;VAN JUGO DE LIMON X 500 (B12);no;14;;1;
688;VAN SALSA CAESAR X 350 (B12);no;6;;7;
689;VAN SALSA RANCH X 350 (B12);no;3;;7;
690;VAN ACEIT BALDE N° 0 X 5 KG;no;9;;0;
691;VAN ACEIT BALDE N° 1 X 5 KG;no;11;;0;
692;VAN ACEIT VERDE FRASCO X 330 (12);no;5;;4;
693;VAN ACEIT VERDE SACHET X 300 (28);no;10;;26;
694;VAN ACEIT. SACHET X 150 (B.48);no;0;;0;
695;VAN ACEIT BALDE RELLENA X 5KG;no;0;;0;
696;VAN ACEIT. RELLENA FRASCO (B12);no;8;;5;
697;VAN ACEIT. RELLENA SACHET X 300 (B28);no;7;;18;
698;VAN ACEIT. RELLENA SACHET X 150 (B18);no;0;;0;
699;VAN ACEIT DESCAROZADA X 4 KG;no;0;;0;
700;VAN ACEIT. DESCAROZ. FRASCO (B12);no;7;;4;
701;VAN ACEIT. DESCAR SACHET X 300 (B28);no;1;;6;
702;VAN ACEIT. DESCAR SACHET X 150 (B18);no;0;;0;
703;VAN ACEIT BALDE RODAJAS X 4 KG;no;0;;0;
704;VAN ACEIT NEGRA BALDE X 5 KG;no;0;;0;
705;VAN AJIES DESPUNT. FRASCO (B12);no;0;;0;
706;VAN CEBOLLITA FRASCO (B12);no;7;;8;
707;VAN PEPINILLOS FRASCO (B12);no;0;;0;
708;VAN PICKLES FRASCO (B12);no;6;;8;
709;VAN PICKLE DOYPACK X 300 (B28);no;3;;12;
710;VAN CHIMICHURRI CLASICO (B12);no;34;;2;
711;VAN CHIMICHURRI AHUMADO (B12);no;45;;6;
712;VAN CHIMICHURRI PICANTE (B12);no;28;;5;
713;VAN SALSA AJI SUAVE (B12);no;4;;8;
714;VAN SALSA AJO (B12);no;4;;1;
715;VAN SALSA CRIOLLA (B12);no;4;;0;
716;VAN SALSA PROVENSAL (B12);no;5;;4;
717;VAN SALSA SOJA (B12);no;0;;0;
718;VAN SALSA INGLESA (B12);no;2;;4;
719;VAN SALSA FILETTO FRASCO (B12);no;4;;8;
720;VAN SALSA NAPOLITANA FRASCO (B12);no;6;;10;
721;VAN SALSA P/PIZZA FRASCO (B12);no;10;;2;
722;VAN SALSA POMAROLA FRASCO (B12);no;6;;2;
723;VAN SALSA PORTUGUESA FRASCO (B12);no;7;;1;
724;VAN ACEIT. POTE X 1 KG;no;15;;0;
725;VAN ACEIT. DESCAR. POTE X 1 KG;no;23;;0;
726;VAN ACEIT. NEGRA POTE X 1 KG;no;0;;0;
727;VAN BERENJENAS EN ESCABECHE (B12);no;1;;7;
728;VAN ACEITE OLIVA X 500 (B12);no;1;;8;
729;VAN KETCHUP PICANTE X 390 (B12);no;1;;6;
730;VAN CHUCRUT FRASCO X 600 (B12);no;1;;0;
750;VERIZZIA FIDEO CODO (B12);no;76;;5;
751;VERIZZIA FIDEO DEDALITO (B15);no;166;;6;
752;VERIZZIA FIDEO MOSTACHOL (B12);no;172;;8;
753;VERIZZIA FIDEO RIGATONI (B12);no;57;;2;
754;VERIZZIA FIDEO SPAGUETTI (B12);no;98;;1;
755;VERIZZIA FIDEO TALLARIN (B12);no;181;;0;
756;VERIZZIA FIDEO TIRABUZON (B12);no;172;;6;
757;VERIZZIA POLENTA (B12);no;0;;3;
758;VERIZZIA GARBANZOS (B12);no;11;;7;
759;VERIZZIA LENTEJAS (B12);no;0;;3;
760;VERIZZIA MAIZ PISINGALLO (B12);no;128;;6;
761;MC ARVEJAS X 2 KG;no;0;;0;
762;MC BROCOLI X 2 KG X4;no;0;;0;
764;MC CAIN ESPINACA X 2 KG (B4);no;0;;1;
765;MC CAIN CHAUCHA X 2 KG;no;0;;0;
766;MC CAIN CHOCLO X 2 KG;no;0;;0;
767;MC CAIN PICKERS MUZZA X 2 KG (B4);no;0;;1;
768;MC CAIN GUACAMOLE X 450 GRS (B12);no;0;;0;
769;MC CAIN;no;0;;0;
770;MC CAIN AROS DE PAPA X 1.5 KG (B4);no;0;;0;
771;MC CAIN PAPAS TRADIC X 2.5 KG (B6);no;39;;4;
772;MC CAIN PAPAS TRADIC X 1 KG (B12);no;0;;0;
773;MC CAIN PAPAS TRADIC X 700 (B12);no;4;;1;
774;MC CAIN PAPAS TRADIC X 400 (B12);no;4;;3;
775;MC CAIN PAPAS CORTE FINO X 2.25 (B8);no;16;;6;
776;MC CAIN PAPAS C. CASERO X 2.5 (B6);no;0;;0;
777;MC PAPAS GASTRONOMICO X 2.5 (B6);no;22;;5;
778;MC CAIN SURE CRISP X 2.5 KG (B6);no;46;;1;
779;MC CAIN PAPAS CRIKLES X 2500GR (B6);no;14;;2;
780;MC CAIN PAPAS CRINKLE X 400 (B12);no;2;;9;
781;MC CAIN CRISPERS X 2.5 KG (B6);no;0;;0;
782;MC CAIN ONE FRY PAPAS X 2.5 KG (B6);no;0;;3;
783;MC CAIN ONE FRY PAPAS X 700 (B12);no;120;;0;
784;MC CAIN PAPAS SMILES X 1.5 KG (B6);no;17;;0;
785;MC CAIN PAPAS NOISETTES X 600 (B12);no;5;;8;
786;MC CAIN PAPAS NOISETTE JAM/QUESO X 500 (B12);no;11;;6;
787;MC CAIN EMOTICONES X 1.5 KG (B4);no;0;;0;
788;MC CAIN PAPAS NOISETTES X 2.5 KG (B4);no;14;;1;
789;MC CAIN PAPAS CORTE RUSTICAS X 720 (B12);no;0;;0;
790;MC CAIN PAPAS HORNEAB X 700 (B12);no;3;;4;
791;MC CAIN PAPAS P/ HORNO X 720 (B12);no;0;;0;
792;MC CAIN SMILES X 700 (B12);no;0;;0;
794;MC CAIN PAPAS TRAD X 1.5 KG (B10);no;0;;0;
795;SIBARITA PIZZA MUZZARELLA X 680 GRS;no;0;;0;
796;MC CAIN AROS DE CEBOLLA X 1 KG (B10);no;0;;6;
797;MC PICKERS PAPRIKA Y PEPPER X 2 (B3);no;0;;0;
798;MC PICKERS TRIANG MUZZA X 2KG (B3);no;0;;0;
799;MC BITE CHEDDAR Y PANCETA X 2KG (B3);no;2;;1;
800;MC BRITE ESPINACA Y QUESO X 2KG (B3);no;4;;2;
801;PAULI CREMA X 200 (12);no;0;;0;
802;PAULI CREMA X 350 (12);no;0;;0;
803;PAULI CHEDDAR SACHET X 3.7 KG;no;3;;0;
804;PAULI DULCE LECHE X 250 (B24);no;2;;16;
805;PAULI DULCE LECHE X 400 TRAD. (B12);no;2;;6;
806;PAULI DULCE LECHE X 400 REPOST (B12);no;0;;8;
807;PAULI DULCE LECHE X 1 KG TRADIC (B6);no;3;;4;
808;PAULI DULCE LECHE X 1KG REPOST (B6);no;0;;0;
809;PAULI MANTECA X 100 GRS (B60);no;31;;0;
810;PAULI MANTECA X 200 GRS (B30);no;21;;0;
811;PAULI UNTABLE 4 QUESOS (B12);no;2;;0;
812;PAULI UNTABLE AZUL (B12);no;4;;0;
813;PAULI UNTABLE CLASICO (B12);no;16;;3;
814;PAULI UNTABLE CHEDDAR (B12);no;1;;6;
815;PAULI UNTABLE FONTINA (B12);no;0;;2;
816;PAULI UNTABLE JAMON (B12);no;2;;8;
817;PAULI UNTABLE MAGRO (B12);no;0;;-2;
818;PAULI UNTABLE P/SALUT CLASICO (B12);no;3;;5;
819;PAULI UNTABLE P/SALUT LIGHT (B12);no;10;;4;
820;PAULI QUESO CREMA CLASICO (B12);no;23;;6;
821;PAULI QUESO CREMA LIGHT (B12);no;13;;8;
822;PAULI QUESO CREMA CIBOLULETTE (B12);no;0;;9;
823;PAULI QUESO CREMA ALI OLI (B12);no;0;;11;
824;PAULI QUESO HEBRA ITALIANO (B12);no;1;;1;
825;PAULI QUESO HEBRA ITALI LIGHT (B12);no;1;;0;
826;PAULI QUESO HEBRA PARMESANO (B12);no;0;;9;
827;PAULI QUESO HEBRAS CHEDDAR (B12);no;1;;0;
828;PAULI QUESO RALLADO X 40 (B20);no;0;;-2;
829;PAULI QUESO RALLADO X 150 (B30);no;0;;5;
830;PAULI LECHE EN POLVO X 800 (B10);no;33;;9;
831;PAULINA QUESO DAMBO;no;116;;0;
832;PAULINA BARRA SANDWICH;no;22;;0;
833;PAULINA QUESO TYBO;no;2;;0;
834;PAULINA QUESO CREMOSO;no;339;;0;
835;PAULINA QUESO CREMOSO DOBLE CREMA;no;13;;0;
836;PAULINA REGGIANITO TROZADO;no;3;;0;
837;PAULINA QUESO POR SALUT;no;3;;0;
838;PAULINA QUESO POR SALUT LIGHT;no;0;;0;
839;PAULINA QUESO SARDO;no;4;;0;
840;PAULINA MUZZARELA P/ FETEAR;no;19;;0;
841;PAULINA SARDO TROZADO X KG;no;11;;0;
842;PAULINA QUESO FONTINA;no;0;;0;
843;PAULINA QUESO PATEGRAS;no;53;;0;
844;PAULINA QUESO REGGIO;no;2;;0;
845;PAULINA QUESO GOYA EDICION ESPECIAL;no;5;;0;
846;PAULINA QUESO PROVOLONE HILADO;no;5;;0;
847;PAULINA CHEDDAR P/ FETEAR;no;6;;0;
848;PAULINA MANTECA X 500 GRS (B12);no;4;;7;
849;PAULINA LECHE ALMENDRA X LT (B12);no;0;;0;
850;MF YOGUR FRUTILLA X 1 LTS (B18);no;0;;3;
851;MF YOGUR VAINILLA X 1 LTS (B18);no;0;;0;
852;MF YOGUR DURAZNO X 1 LTS (B18);no;0;;0;
853;MF YOGUR BANANA X 1 LTS (B18);no;0;;0;
854;MF YOG FRUTOS/BOSQUE X 1 LTS (B18);no;0;;0;
855;MF YOGUR FIRME FRUTILLA (B20);no;0;;9;
856;MF YOGUR FIRME VAINILLA (B20);no;0;;0;
857;MF YOGUR FIRME DULCE LECHE (B20);no;0;;0;
858;MF YOGUR CON CEREAL (B20);no;0;;0;
859;MF YOGUR AROS FRUTALES (B20);no;0;;0;
860;MF YOGUR TROZO FRUTILLA (B20);no;0;;7;
861;MF YOGUR TROZO FRUTOS BOSQUE (B20);no;0;;0;
862;MF YOGUR TROZO DURAZNO (B20);no;0;;3;
865;MF FLAN X 120 GRS (B20);no;0;;0;
866;MF POSTRE VAINILLA X 120 (B20);no;0;;0;
867;MF POSTRE DULCE LECHE X 120 (B20);no;0;;0;
868;MF UNTABLES POR SALUT LIGHT (B24);no;0;;0;
869;MF UNTABLES JAMON (B24);no;0;;0;
870;MF UNTABLES SALAME (B24);no;0;;0;
871;MF UNTABLES AZUL (B24);no;0;;0;
872;MF UNTABLES GRUYERE (B24);no;0;;0;
873;MF UNTABLES CHEDDAR (B24);no;0;;0;
874;MF DULCE LECHE X 250 (B24);no;0;;4;
875;MF DULCE LECHE X 400 TRADIC (B24);no;0;;6;
876;MF DULCE LECHE TRADIC X 1 KG (B12);no;0;;0;
877;MF DULCE LECHE REPOST X 400 (B24);no;0;;0;
878;MF DULCE LECHE REPOST X 1 KG (B12);no;0;;0;
879;MF DULCE LECHE REPOSTERO X 5 KG;no;0;;0;
880;MF DULCE LECHE REPOSTERO X 10 KG;no;0;;0;
881;MF DULCE LECHE MINI X 108 UNID;no;0;;0;
882;GRANJA ORO DULCE LECHE X 250 (B24);no;0;;0;
883;MF LECHE SACHET ENTERA X 1 LTS (B18);no;0;;0;
884;MF LECHE SACHET DESCRE X 1 LTS (B18);no;0;;0;
885;MF LECHE UAT ENTERA X 1 LTS (B12);no;0;;0;
886;MF LECHE UAT DESCRE X 1 LTS (B12);no;0;;0;
887;MF YOGUR CON GRANOLA (20);no;0;;0;
888;MF QUESO RALLADO X 40 (B20);no;0;;0;
889;MF MANTECA X 100 GRS (B60);no;0;;0;
890;MF MERMEL DURAZNO MINI X 108 UNID;no;1;;0;
891;MF MERMEL FRUTILLA MINI X 108 UNID;no;0;;0;
892;MF MANTECA MINI X 100 UNID;no;1;;0;
893;MF UNTABLE MINI X 108 UNID;no;0;;0;
894;MF CREMA X 200 (B24);no;0;;0;
895;PAULINA CREMA X 5 LITROS;no;3;;0;
896;TARRAGONA CHOCLO GRANO X 340 (B24);no;1;;2;
897;MONTENEVI LENTEJA X 340 (24);no;4;;17;
898;MONTENEVI CHOCLO CREMOSO X 340 (24);no;15;;15;
899;MONTENEVI PURE TOMATE X 520 (B12);no;27;;6;
900;MONTENEVI ARVEJAS X 340 (24);no;1;;2;
901;MONTENEVI PULPA TOMATE X 520 (B12);no;1;;7;
902;MONTENEVI POROTOS X 340 (B24);no;0;;0;
903;MONTENEVI GARBANZOS X 340 (B24);no;0;;-1;
904;PAULI QUESO RALLADO X 450 GRS (B12);no;2;;6;
905;PAULI UNTABLE SALAME (B12);no;3;;3;
906;PAULI DOBLE QUESO CREMA X 250 (B12);no;1;;0;
907;PAULI QUESO CREMA PANCETA X 250 (B12);no;0;;0;
908;PAULI QUESO CREMA JALAPEÑO X 250 (12);no;0;;0;
909;PAULI Q. HEBRAS PARMESANO X 1 KG (B12);no;0;;6;
920;DESOCUPADO;no;0;;0;
922;SAL CELUSAL MINI;no;8;;0;
923;PAULINA QUESO GOUDA TROZADO;no;5;;0;
924;PAULINA QUESO CREMA POUCH X 4 KG;no;-4;;0;
925;RICREM QUESO CREMOSO;no;-2;;0;
926;RICREM QUESO DAMBO;no;101;;0;
927;RICREM Q.CREMA CLASICO (B12);no;0;;-1;
928;RICREM UNTABLE JAMON (B12);no;3;;7;
929;RICREM UNTABLE CLASICO (B12);no;3;;2;
931;ALMENDRAS X 100 GRS (B30);no;0;;0;
932;PASAS X 50 GRS (B30);no;3;;15;
933;PASAS X 100 GRS (B30);no;0;;4;
934;NUECES X 100 GRS (B30);no;0;;1;
935;CIRUELAS S/CAROZO X 250 GRS (B30);no;0;;6;
936;AZAFRAN EN CAPSULA X 2 GRS (B40);no;21;;36;
937;MIX DE FRUTAS POTE X 100 GRS;no;0;;0;
945;PAN SUPERPANCHO X UNIDAD;no;0;;0;
950;...............;no;0;;0;
951;CAJA NAVIDEÑA COMERCIOS 2023;no;-9;;0;
952;EXHIBIDOR KINDER TRIPLE BANDEJA;no;45;;0;
953;EXHIBIDOR FERRERO DORADO;no;30;;0;
954;EXHIBIDOR KINDER BUENO ROJO;no;47;;0;
955;EXHIBIDOR NUTELLA/ KINDER CHOCOLATE;no;103;;0;
956;EXHIBIDOR TIC TAC VERDE PLASTICO;no;-8;;0;
960;MC CAIN SURE CRISP CORTE FINO X 2.25 (8);no;0;;0;
961;YOVIN AC VERDES X 100 GR (B12);no;61;;6;
962;YOVIN AC VERDES X 180 GR (B12);no;33;;6;
964;YOVIN AC DESCAR X 80 GR (B12);no;51;;11;
965;YOVIN AC DESCAR X 150 GR (B12);no;31;;2;
967;YOVIN AC RELLENAS X 80 GR (B12);no;11;;10;
968;YOVIN AC RELLENAS X 160 GR (B12);no;16;;2;
970;YOVIN AC FILETEADAS X 80 GR (B12);no;5;;10;
971;YOVIN AC PIZZERA CHICA X 5 KG;no;15;;0;
972;YOVIN AC PIZZERA MEDIANA X 5 KG ;no;0;;0;
973;YOVIN AC PIZZERA GRANDE X 5;no;1;;0;
975;YOVIN PICKLES X 100 GR (B12);no;12;;1;
976;YOVIN PICKLES X 150 GR (B12);no;12;;7;
977;YOVIN PICKLES FRASCO X 330 (B12);no;12;;2;
978;YOVIN CEBOLLITAS X 100 GR (B12);no;12;;0;
979;YOVIN CEBOLLITAS X 180 GR (B12);no;10;;0;
980;YOVIN CEBOLLITAS FRASCO X 330 (B12);no;8;;11;
981;YOVIN PEPINITOS X 100 GR (B12);no;13;;10;
982;YOVIN PEPINITOS X 180 GR (B12);no;7;;8;
983;YOVIN PEPINITOS FRASCO X 330 (B12);no;6;;5;
984;YOVIN BERENJENAS X 100 GR (B12);no;13;;7;
985;YOVIN BERENJENAS X 180 GR (B12);no;9;;5;
986;YOVIN BERENJENAS FRASCO X 330 (B12);no;6;;0;
987;YOVIN AJIES VIN. FRASCO X 330 (B12);no;7;;4;
988;YOVIN FILET ANCHOAS X 50 GR (B12);no;10;;7;
1010;MC CAIN EMOTICONS X 600 (B12);no;0;;0;
1015;CAJA DE REGALO FAMILIAR;no;1;;0;
1016;CAJA DE REGALO EMPRESARIAL;no;3;;0;
1050;MANTECA P.PREMIO X 100 GRS (B30);no;101;;15;
1051;MANTECA P.PREMIO X 200 GRS (B15);no;161;;14;
1052;MANTECA P.PREMIO GASTR (100 UNID);no;-4;;0;
1053;MANTECA P.PREMIO X 2.5 KG (B8);no;1;;2;
1100;CHEV AJI MOLIDO X 25 GR (B15);no;7;;5;
1101;CHEV AJO GRANULADO X 50 GR (15);no;11;;0;
1102;CHEV ALBAHACA X 25 GR (20);no;15;;10;
1103;CHEV BICARBONATO X 40 GR (B20);no;5;;5;
1104;CHEV CHIMICHURRI X 25 GR (B15);no;12;;10;
1105;CHEV COMINO MOLIDO X 25 GR (B20);no;3;;5;
1106;CHEV COND. PARA CARNE X 25 GR (B15);no;10;;0;
1107;CHEV OREGANO X 25 GR (B20);no;41;;15;
1108;CHEV PROVENZAL X 25 GR (B15);no;57;;10;
1109;CHEV PEREJIL X 25 GR (B20);no;16;;0;
1110;CHEV PIMENTON X 25 GR (B20);no;13;;10;
1111;CHEV COND. PARA PIZZA X 25 GR (B15);no;29;;0;
1112;CHEV PIM. BLANCA MOLIDA X 25 GR (B20);no;3;;5;
1113;CHEV PIM. NEGRA MOLIDA X 25 GR (B20);no;7;;15;
1114;CHEV NUEZ MOSCADA MOLIDA X 25 GR (B20);no;9;;0;
1115;CHEV CONDIMENTO P/ ARROZ X 25 GR (B20);no;16;;5;
1119;CHEV PURE DE PAPAS X 125 GR (B12);no;45;;3;
1120;CHEV ALMIDON MAIZ X 200 GR (B20);no;8;;4;
1121;CHEV AZUCAR IMPALPABLE X 200 GR (B25);no;14;;12;
1122;CHEV AZUCAR NEGRO FANT. X 200 GR (B12);no;3;;0;
1123;CHEV CHANTILLY EN POLVO X 50 GR (B12);no;24;;9;
1124;CHEV COCO RALLADO X 50 GR (B20);no;17;;7;
1125;CHEV POLVO HORNEAR X 50 GR (B15);no;12;;0;
1126;CHEV SALSA BLANCA X 40 GR (B15);no;22;;5;
1127;CHEV PASAS DE UVA X 100 GRS (20);no;0;;19;
1128;CHEV SAL ENTREFINA C/ESPECIEAS X 400 (B12);no;3;;2;
1129;CHEV CAFÉ EN SAQUITOS (B25);no;4;;23;
1130;CHEV TE NEGRO EN SAQUITOS (B25);no;12;;13;
1131;CHEV MATE COCIDO EN SAQUITOS (B25);no;11;;2;
1132;CHEV TE DE MANZANILLA EN SAQUITOS (B10);no;10;;0;
1133;CHEV TE MEZCLA HIERBAS EN SAQUTOS (B10);no;9;;0;
1134;CHEV TE DE BOLDO EN SAQUITOS (B10);no;10;;7;
1197;EXHIBIDOR ESPECIAS  CHEV 28 POSICIONES CON BASE;no;0;;0;
1198;EXHIBIDOR ESPECIAS  CHEV 28 POS. COLGANTE;no;2;;0;
1199;EXHIBIDOR ESPECIAS CHEV 12 POS. COLGANTE;no;13;;0;
1200;ARROZ EL CHEFF 00000 X 1KG (B10);no;171;;0;
1201;ARROZ D.ERNESTO 00000 X 1KG (B10);no;311;;0;
1202;ARROZ FIN-K 0000 X 1KG (B10);no;197;;0;
1206;ARROZ EL CHEFF 00000 X 500GR (B10);no;99;;0;
1207;ARROZ D.ERNESTO 00000 X 500GR (B10);no;1;;0;
1208;ARROZ FIN-K 0000 X 500GR (B10);no;0;;0;
1250;BOLICROK PALITO SALADO X 800 GRS;no;2;;0;
1251;BOLICROK PALITO JAMON X 800 GRS;no;31;;0;
1252;BOLICROK PALITO PIZZA X 800 GRS;no;39;;0;
1253;BOLICROK PALITO QUESO X 800 GRS;no;19;;0;
1254;BOLICROK PALITO SALAME X 800 GRS;no;41;;0;
1255;BOLICROK MANI CROC. SALADO X 1 KG;no;3;;0;
1256;BOLICROK MANI CROC. JAMON X 1 KG;no;65;;0;
1257;BOLICROK MANI CROC. PIZZA X 1 KG;no;76;;0;
1258;BOLICROK MANI CROC. QUESO X 1 KG;no;25;;0;
1259;BOLICROK MANI CROC. SALAME X 1 KG;no;39;;0;
1260;BOLICROK MANI CLASI. C/ PIEL X 1 KG;no;20;;0;
1261;BOLICROK MANI SALADO SIN PIEL  X 1 KG;no;8;;0;
2000;ALOHA FRUHU FRUTILLA X 80CC (B22);no;17;2;0;
2001;ALOHA FRUHU MARACUYA X 80CC (B22);no;1;2;0;
2002;ALOHA FRUHU LIMON X 80CC (B22);no;11;2;0;
2003;ALOHA CREMISSIMO DDL X 60CC (B27);no;12;2;0;
2004;ALOHA CREMISSIMO FRUTILLA X 60CC (B27);no;40;2;0;
2005;ALOHA CREMISSIMO CHOCOLATE X 60CC (B27);no;14;2;0;
2006;ALOHA CREMISSIMO AMERICANA X 60CC (B27);no;33;2;0;
2013;ALOHA GRANIBON X 80CC (B24);no;33;2;0;
2014;ALOHA MAXUI ALMENDRAS X 80CC (B16);no;-1;2;0;
2015;ALOHA MAXUI BLANCO X 80CC (B16);no;6;2;0;
2016;ALOHA MAXUI CHOCO DUO X 80CC (B16)   ;no;1;2;0;
2017;ALOHA CONO OSADA X 140CC (B14);no;2;2;0;
2018;ALOHA PALITO OSADA X 80CC (B16);no;5;2;0;
2019;ALOHA WAICUP OSADA X 200CC (B12)   ;no;11;2;6;
2020;ALOHA CHOCOBANA X 80CC (B20);no;33;2;0;
2021;ALOHA PALITO BOMBON X 60CC (B27);no;10;2;0;
2022;ALOHA SUPER BOMBON CROCANTE X 80CC (B24);no;24;2;0;
2023;ALOHA SCRUM BLACK (AMERIC) X 140CC (B14);no;4;2;0;
2024;ALOHA SCRUM WHITE (CHOCOL) X 140 CC (B14);no;0;2;0;
2025;ALOHA SCRUM BLACK (DDL) X 140CC (B14);no;5;2;0;
2026;ALOHA CONOBOLA DDL CROC. X 100CC (B14);no;5;2;0;
2027;ALOHA CONOBOLA AMERICANA X 100CC (B14) ;no;10;2;0;
